ID,attribute_id,value,units,retired
1,1,Afghanistan,NULL,0
2,1,Aland Islands,NULL,0
3,1,Albania,NULL,0
4,1,Algeria,NULL,0
5,1,American Samoa,NULL,0
6,1,Andorra,NULL,0
7,1,Angola,NULL,0
8,1,Anguilla,NULL,0
9,1,Antarctica,NULL,0
10,1,Antigua And Barbuda,NULL,0
11,1,Argentina,NULL,0
12,1,Armenia,NULL,0
13,1,Aruba,NULL,0
14,1,Australia,NULL,0
15,1,Austria,NULL,0
16,1,Azerbaijan,NULL,0
17,1,Bahamas,NULL,0
18,1,Bahrain,NULL,0
19,1,Bangladesh,NULL,0
20,1,Barbados,NULL,0
21,1,Belarus,NULL,0
22,1,Belgium,NULL,0
23,1,Belize,NULL,0
24,1,Benin,NULL,0
25,1,Bermuda,NULL,0
26,1,Bhutan,NULL,0
27,1,Bolivia,NULL,0
28,1,Bosnia and Herzegovina,NULL,0
29,1,Botswana,NULL,0
30,1,Bouvet Island,NULL,0
31,1,Brazil,NULL,0
32,1,British Indian Ocean Territory,NULL,0
33,1,British Virgin Islands,NULL,0
34,1,Brunei,NULL,0
35,1,Bulgaria,NULL,0
36,1,Burkina Faso,NULL,0
37,1,Burma (Myanmar),NULL,0
38,1,Burundi,NULL,0
39,1,Cambodia,NULL,0
40,1,Cameroon,NULL,0
41,1,Canada,NULL,0
42,1,Canary Islands,NULL,0
43,1,Cape Verde,NULL,0
44,1,Cayman Islands,NULL,0
45,1,Central African Republic,NULL,0
46,1,Chad,NULL,0
47,1,Chile,NULL,0
48,1,China,NULL,0
49,1,Christmas Island,NULL,0
50,1,Cocos (Keeling) Islands,NULL,0
51,1,Colombia,NULL,0
52,1,Comoros,NULL,0
53,1,Cook Islands,NULL,0
54,1,Costa Rica,NULL,0
55,1,Croatia,NULL,0
56,1,Cuba,NULL,0
57,1,Cyprus,NULL,0
58,1,Czech Republic,NULL,0
59,1,Democratic Republic of the Congo,NULL,0
60,1,Denmark,NULL,0
61,1,Djibouti,NULL,0
62,1,Dominica,NULL,0
63,1,Dominican Republic,NULL,0
64,1,Ecuador,NULL,0
65,1,Egypt,NULL,0
66,1,El Salvador,NULL,0
67,1,Equatorial Guinea,NULL,0
68,1,Eritrea,NULL,0
69,1,Estonia,NULL,0
70,1,Ethiopia,NULL,0
71,1,Falkland Islands,NULL,0
72,1,Faroe Islands,NULL,0
73,1,Fiji,NULL,0
74,1,Finland,NULL,0
75,1,France,NULL,0
76,1,French Guiana,NULL,0
77,1,French Polynesia,NULL,0
78,1,French Southern Territories,NULL,0
79,1,Gabon,NULL,0
80,1,Gambia,NULL,0
81,1,Georgia,NULL,0
82,1,Germany,NULL,0
83,1,Ghana,NULL,0
84,1,Gibraltar,NULL,0
85,1,Greece,NULL,0
86,1,Greenland,NULL,0
87,1,Grenada,NULL,0
88,1,Guadeloupe,NULL,0
89,1,Guam,NULL,0
90,1,Guatemala,NULL,0
91,1,Guernsey,NULL,0
92,1,Guinea,NULL,0
93,1,Guinea-Bissau,NULL,0
94,1,Guyana,NULL,0
95,1,Haiti,NULL,0
96,1,Heard and McDonald Islands,NULL,0
97,1,Holy See (Vatican City),NULL,0
98,1,Honduras,NULL,0
99,1,Hong Kong,NULL,0
100,1,Hungary,NULL,0
101,1,Iceland,NULL,0
102,1,India,NULL,0
103,1,Indonesia,NULL,0
104,1,Iran,NULL,0
105,1,Iraq,NULL,0
106,1,Ireland,NULL,0
107,1,Isle of Man,NULL,0
108,1,Israel,NULL,0
109,1,Italy,NULL,0
110,1,Ivory Coast,NULL,0
111,1,Jamaica,NULL,0
112,1,Japan,NULL,0
113,1,Jersey,NULL,0
114,1,Jordan,NULL,0
115,1,Kazakhstan,NULL,0
116,1,Kenya,NULL,0
117,1,Kiribati,NULL,0
118,1,Kuwait,NULL,0
119,1,Kyrgyzstan,NULL,0
120,1,Laos,NULL,0
121,1,Latvia,NULL,0
122,1,Lebanon,NULL,0
123,1,Lesotho,NULL,0
124,1,Liberia,NULL,0
125,1,Libya,NULL,0
126,1,Liechtenstein,NULL,0
127,1,Lithuania,NULL,0
128,1,Luxembourg,NULL,0
129,1,Macau,NULL,0
130,1,Macedonia,NULL,0
131,1,Madagascar,NULL,0
132,1,Malawi,NULL,0
133,1,Malaysia,NULL,0
134,1,Maldives,NULL,0
135,1,Mali,NULL,0
136,1,Malta,NULL,0
137,1,Marshall Islands,NULL,0
138,1,Martinique,NULL,0
139,1,Mauritania,NULL,0
140,1,Mauritius,NULL,0
141,1,Mayotte,NULL,0
142,1,Mexico,NULL,0
143,1,Micronesia,NULL,0
144,1,Moldova,NULL,0
145,1,Monaco,NULL,0
146,1,Mongolia,NULL,0
147,1,Montserrat,NULL,0
148,1,Morocco,NULL,0
149,1,Mozambique,NULL,0
150,1,Namibia,NULL,0
