id,Name,Parent_id,active,Level,JetTaxCode
1000000,Books & Other Media,0,1,0,Generic Taxable Product
1000001,Books - Arts & Entertainment,1000000,1,1,Generic Taxable Product
1000002,Architecture,1000001,1,2,Generic Taxable Product
1000003,Business of Art,1000001,1,2,Generic Taxable Product
1000004,"Collections, Catalogs & Exhibitions",1000001,1,2,Generic Taxable Product
1000006,Decorative Arts & Design,1000001,1,2,Generic Taxable Product
1000007,Drawing,1000001,1,2,Generic Taxable Product
1000008,Fashion,1000001,1,2,Generic Taxable Product
1000009,Graphic Design,1000001,1,2,Generic Taxable Product
1000010,Comic Books & Graphic Novels,1000001,1,2,Generic Taxable Product
1000011,History & Criticism,1000001,1,2,Generic Taxable Product
1000013,Humor,1000001,1,2,Generic Taxable Product
1000014,Individual Artists,1000001,1,2,Generic Taxable Product
1000016,Movies,1000001,1,2,Generic Taxable Product
1000017,Music,1000001,1,2,Generic Taxable Product
1000018,Other Media,1000001,1,2,Generic Taxable Product
1000019,Painting,1000001,1,2,Generic Taxable Product
1000020,Performing Arts,1000001,1,2,Generic Taxable Product
1000021,Photography,1000001,1,2,Generic Taxable Product
1000022,Pop Culture,1000001,1,2,Generic Taxable Product
1000023,Puzzles & Games,1000001,1,2,Generic Taxable Product
1000024,Radio,1000001,1,2,Generic Taxable Product
1000025,Religious,1000001,1,2,Generic Taxable Product
1000026,Sculpture,1000001,1,2,Generic Taxable Product
1000027,Television,1000001,1,2,Generic Taxable Product
1000028,Books - Biographies & Memoirs,1000000,1,1,Generic Taxable Product
1000029,Arts & Literature,1000028,1,2,Generic Taxable Product
1000030,Ethnic & National,1000028,1,2,Generic Taxable Product
1000031,Family & Childhood,1000028,1,2,Generic Taxable Product
1000033,Historical,1000028,1,2,Generic Taxable Product
1000034,Leaders & Notable People,1000028,1,2,Generic Taxable Product
1000035,Memoirs,1000028,1,2,Generic Taxable Product
1000037,Professionals & Academics,1000028,1,2,Generic Taxable Product
1000038,Reference & Collections,1000028,1,2,Generic Taxable Product
1000039,Regional Canada,1000028,1,2,Generic Taxable Product
1000040,Regional U.S.,1000028,1,2,Generic Taxable Product
1000041,Specific Groups,1000028,1,2,Generic Taxable Product
1000042,Sports & Outdoors,1000028,1,2,Generic Taxable Product
1000044,True Accounts,1000028,1,2,Generic Taxable Product
1000045,Books - Business & Investing,1000000,1,1,Generic Taxable Product
1000046,Accounting & Finance,1000045,1,2,Generic Taxable Product
1000047,History & Profiles,1000045,1,2,Generic Taxable Product
1000048,Business Life,1000045,1,2,Generic Taxable Product
1000049,Economics,1000045,1,2,Generic Taxable Product
1000051,Green Business,1000045,1,2,Generic Taxable Product
1000052,Industries & Professions,1000045,1,2,Generic Taxable Product
1000053,International,1000045,1,2,Generic Taxable Product
1000054,Investing,1000045,1,2,Generic Taxable Product
1000055,Job Hunting & Careers,1000045,1,2,Generic Taxable Product
